id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3866	wang, tongli	-0,2548	0,1887	14	12	18	4	258	11,2868	2016,25	64,5	2,8217
3242	schueler, silvio	-0,2036	-0,0413	1	11	15	5	176	8,4048	2019	35,2	1,681
2799	peri, pablo l.	-0,0666	0,6677	3	10	31	7	117	13,3045	2020,4286	16,7143	1,9006
367	bolte, andreas	-0,0317	-0,0873	1	10	10	3	44	4,2227	2022,3333	14,6667	1,4076
2426	milberg, per	-0,116	-0,3323	7	10	10	2	121	9,5631	2020	60,5	4,7816
2029	lencinas, maría v.	-0,0379	0,7197	3	9	28	6	114	10,2554	2019,8333	19	1,7092
594	chakraborty, debojyoti	-0,15	-0,0147	1	9	12	3	66	4,0051	2020,6667	22	1,335
3708	vacek, stanislav	0,5535	0,438	10	8	21	5	143	8,8367	2018	28,6	1,7673
486	bulušek, daniel	0,5018	0,4631	10	8	20	4	106	6,5289	2017,75	26,5	1,6322
3710	vacek, zdeněk	0,516	0,415	10	8	20	4	106	6,5289	2017,75	26,5	1,6322
444	bricca, alessandro	0,2777	-0,6071	9	8	15	3	36	16,2854	2022,6667	12	5,4285
2030	lencinas, maría vanessa	0,0081	0,5482	3	8	14	7	152	7,4709	2015,1429	21,7143	1,0673
527	campetella, giandiego	0,2379	-0,5609	9	8	13	2	21	11,2196	2022,5	10,5	5,6098
535	canullo, roberto	0,1988	-0,5363	9	8	13	2	21	11,2196	2022,5	10,5	5,6098
591	cervellini, marco	0,1793	-0,5765	9	8	13	2	21	11,2196	2022,5	10,5	5,6098
609	chelli, stefano	0,1918	-0,6217	9	8	13	2	21	11,2196	2022,5	10,5	5,6098
1496	hermy, martin	-0,2203	-0,3934	7	8	13	4	174	9,1166	2013	43,5	2,2792
2170	lucas-borja, manuel esteban	0,615	-0,4309	2	8	13	6	64	5,2945	2020,1667	10,6667	0,8824
3664	tsakalos, james l.	0,2282	-0,5994	9	8	13	2	21	11,2196	2022,5	10,5	5,6098
872	decocq, guillaume	-0,2011	-0,4417	7	8	12	6	234	10,1916	2013,1667	39	1,6986
1926	král, jan	0,5914	0,4031	10	8	12	2	28	1,8123	2018,5	14	0,9061
3691	ulbrichová, iva	0,556	0,3749	10	8	12	2	28	1,8123	2018,5	14	0,9061
2858	plue, jan	-0,1805	-0,4092	7	8	10	3	132	8,591	2016,6667	44	2,8637
369	bonari, gianmaria	0,2871	-0,562	9	8	9	2	25	15,2297	2023,5	12,5	7,6149
1883	konnert, monika	-0,1445	0,0878	13	8	9	3	94	3,875	2014,6667	31,3333	1,2917
1526	hjelm, karin	0,444	-0,1316	6	8	8	3	38	2,2116	2018,6667	12,6667	0,7372
2519	moya, daniel	0,598	-0,5144	2	8	8	2	39	1,7846	2016,5	19,5	0,8923
606	chaves, jimena e.	-0,1061	0,7096	3	7	21	4	18	8,115	2023,5	4,5	2,0287
3092	roig, fidel a.	-0,1352	0,658	3	7	21	4	18	8,115	2023,5	4,5	2,0287
505	bílek, lukáš	0,4977	0,3682	10	7	14	4	92	6,6097	2019	23	1,6524
1115	fernández, cristina	0,5126	-0,5954	2	7	13	4	105	3,3889	2011,75	26,25	0,8472
2207	löf, magnus	-0,0388	-0,2322	7	7	10	5	160	10,3887	2016	32	2,0777
3399	soler, rosina	0,03	0,5982	3	7	10	4	53	2,5074	2018,75	13,25	0,6269
3756	vančura, karel	0,5598	0,4861	10	7	10	2	68	4,2414	2019	34	2,1207
2305	martínez pastur, guillermo	-0,0056	0,6104	3	7	9	3	106	3,5121	2015,3333	35,3333	1,1707
3725	van calster, hans	-0,2141	-0,3499	7	7	9	3	132	8,6514	2016	44	2,8838
756	cutini, maurizio	0,2467	-0,6455	9	7	8	2	26	6,1215	2022	13	3,0607
1690	jiménez, enrique	0,5516	-0,5775	2	7	8	2	73	2,4695	2012	36,5	1,2348
3790	vidal, edson	-0,1984	-0,8983	8	7	7	3	101	3,1808	2015,3333	33,6667	1,0603
3904	wellstein, camilla	0,2503	-0,5174	9	7	7	2	10	10,1639	2024	5	5,082
587	cellini, juan m.	-0,1647	0,7158	3	6	24	5	98	9,5442	2020,4	19,6	1,9088
2306	martínez pastur, guillermo j.	-0,0815	0,7703	3	6	24	5	98	9,5442	2020,4	19,6	1,9088
3088	rodríguez-souilla, julián	-0,1398	0,7665	3	6	18	3	15	5,0658	2023,3333	5	1,6886
301	berger, rute	0,1046	0,8479	12	6	12	2	4	0,2697	2018	2	0,1349
763	céspedes, german hugo gutierrez	0,2032	0,8474	12	6	12	2	4	0,2697	2018	2	0,1349
778	da silva, josé antônio aleixo	0,1777	0,8903	12	6	12	2	4	0,2697	2018	2	0,1349
835	de lima, andré luiz alves	0,1791	0,8046	12	6	12	2	4	0,2697	2018	2	0,1349
837	de lima, tamires leal	0,1545	0,8476	12	6	12	2	4	0,2697	2018	2	0,1349
1135	ferreira, rinaldo luiz caraciolo	0,129	0,8901	12	6	12	2	4	0,2697	2018	2	0,1349
1557	hu, xian-ge	-0,3715	0,1783	14	6	12	2	75	4,8675	2018,5	37,5	2,4338
1682	jia, kai-hua	-0,3426	0,2148	14	6	12	2	75	4,8675	2018,5	37,5	2,4338
1689	jiao, si-qian	-0,3038	0,2347	14	6	12	2	75	4,8675	2018,5	37,5	2,4338
1697	jin, yuqing	-0,3466	0,2635	14	6	12	2	75	4,8675	2018,5	37,5	2,4338
2145	longhi, régis villanova	0,1302	0,8058	12	6	12	2	4	0,2697	2018	2	0,1349
2264	mao, jian-feng	-0,3195	0,1754	14	6	12	2	75	4,8675	2018,5	37,5	2,4338
4094	zhou, shan-shan	-0,387	0,2301	14	6	12	2	75	4,8675	2018,5	37,5	2,4338
3348	simon, jaroslav	0,4635	0,4091	10	6	10	2	38	2,2874	2016,5	19	1,1437
2158	lstibůrek, milan	-0,1338	-0,0669	1	6	8	2	19	1,8235	2023	9,5	0,9117
3896	weisser, wolfgang w.	0,116	-0,1746	1	6	8	3	243	8,0982	2015,6667	81	2,6994
2904	prokupková, anna	0,6083	0,4557	10	6	7	2	52	3,2435	2019	26	1,6217
1380	guignabert, arthur	0,2086	0,1384	11	6	6	2	16	6,8269	2022	8	3,4135
1638	jacquemyn, hans	-0,1374	-0,3966	7	6	6	2	112	7,0276	2015	56	3,5138
1752	kalamees, rein	-0,1655	-0,3598	7	6	6	2	121	7,1432	2014	60,5	3,5716
1900	kowalczyk, jan	-0,0932	-0,1006	1	6	6	2	23	2,073	2020	11,5	1,0365
2669	o'neill, gregory a.	-0,1953	0,3163	5	6	6	3	214	7,0338	2011,3333	71,3333	2,3446
1244	garbarino, matteo	0,8854	0,2395	18	5	12	5	116	10,317	2019,4	23,2	2,0634
832	de las heras, j.	0,1838	0,3495	17	5	11	3	76	3,1828	2015,6667	25,3333	1,0609
1364	grogan, james	-0,2859	-0,8645	8	5	11	5	241	6,2125	2008,6	48,2	1,2425
2518	moya, d.	0,1549	0,3098	17	5	11	3	76	3,1828	2015,6667	25,3333	1,0609
299	berezin, g.v.	0,3776	0,6733	16	5	10	2	1	0,149	2022,5	0,5	0,0745
1324	gonzález-romero, j.	0,1535	0,3915	17	5	10	2	28	1,8932	2019,5	14	0,9466
1776	kapitsa, e.a.	0,3935	0,5921	16	5	10	2	1	0,149	2022,5	0,5	0,0745
1889	korepin, a.a.	0,3561	0,6274	16	5	10	2	1	0,149	2022,5	0,5	0,0745
2168	lucas-borja, m.e.	0,1395	0,3509	17	5	10	4	65	3,327	2017,5	16,25	0,8318
2371	mckenney, daniel w.	-0,1213	0,3433	5	5	10	4	118	6,6593	2015,5	29,5	1,6648
2784	pedlar, john h.	-0,1206	0,3814	5	5	10	4	118	6,6593	2015,5	29,5	1,6648
2854	plaza-álvarez, p.a.	0,1043	0,3758	17	5	10	2	28	1,8932	2019,5	14	0,9466
3160	sagra, j.	0,1046	0,3247	17	5	10	2	28	1,8932	2019,5	14	0,9466
3314	shorohov, a.a.	0,4274	0,6671	16	5	10	2	1	0,149	2022,5	0,5	0,0745
3315	shorohova, e.v.	0,4381	0,618	16	5	10	2	1	0,149	2022,5	0,5	0,0745
3316	shorohova, m.a.	0,398	0,635	16	5	10	2	1	0,149	2022,5	0,5	0,0745
183	augusto, laurent	0,2897	0,1044	11	5	9	3	34	1,9216	2016,3333	11,3333	0,6405
1981	landis, r. matthew	-0,2593	-0,8372	8	5	8	3	185	4,7915	2009	61,6667	1,5972
2515	motta, renzo	0,911	0,2048	18	5	8	3	62	2,8186	2017	20,6667	0,9395
1302	gire, céline	0,2423	0,1009	11	5	7	2	19	0,986	2015	9,5	0,493
1316	gonzalez, maya	0,2468	0,0665	11	5	7	2	19	0,986	2015	9,5	0,493
3778	verheyen, kris	-0,2647	-0,3925	7	5	7	5	157	5,6754	2013	31,4	1,1351
887	delerue, florian	0,2696	0,1349	11	5	6	2	25	1,6642	2019,5	12,5	0,8321
2055	lexer, manfred j.	-0,238	0,0291	4	5	6	2	142	5,1418	2014	71	2,5709
2141	lonati, michele	0,943	0,2387	18	5	6	2	55	1,7757	2014,5	27,5	0,8879
2855	plaza-álvarez, pedro antonio	0,6626	-0,4539	2	5	6	2	19	1,4717	2019,5	9,5	0,7358
432	brang, peter	-0,4551	0,0201	4	5	5	3	109	5,7243	2019	36,3333	1,9081
466	brunet, jörg	0,132	-0,2625	1	5	5	3	656	10,9341	2002,3333	218,6667	3,6447
534	candel-pérez, david	0,5498	-0,5177	2	5	5	2	52	2,9602	2017	26	1,4801
580	cavers, stephen	0,0902	-0,8642	15	5	5	3	234	8,8786	2015,6667	78	2,9595
1022	ehbrecht, martin	0,071	-0,0939	1	5	5	2	8	1,1919	2023,5	4	0,5959
1616	isacsson, gunnar	0,079	-0,2387	1	5	5	2	223	6,2953	2008,5	111,5	3,1476
2144	longauer, roman	-0,0919	-0,0453	1	5	5	2	36	2,7828	2018	18	1,3914
2169	lucas-borja, manuel e.	0,5037	-0,5213	2	5	5	2	61	2,4615	2013,5	30,5	1,2308
536	cao, chunxiang	0,5696	0,1735	19	4	11	3	87	3,6988	2015,3333	29	1,2329
618	chen, wei	0,5734	0,1056	19	4	11	3	87	3,6988	2015,3333	29	1,2329
2504	moriya, kazuyuki	0,5472	0,1377	19	4	11	3	87	3,6988	2015,3333	29	1,2329
3167	sakai, tetsuro	0,609	0,1609	19	4	11	3	87	3,6988	2015,3333	29	1,2329
2107	lingua, emanuele	0,8707	0,2794	18	4	10	5	137	10,0892	2017,6	27,4	2,0178
2316	marzano, raffaella	0,913	0,2856	18	4	10	4	109	9,2741	2018,75	27,25	2,3185
1169	fonturbel, teresa	0,5508	-0,6381	2	4	9	3	79	2,182	2010,3333	26,3333	0,7273
3762	vega, josé a.	0,4943	-0,6406	2	4	9	3	79	2,182	2010,3333	26,3333	0,7273
1223	fussi, barbara	-0,1019	0,1259	13	4	8	4	64	3,3249	2017,5	16	0,8312
1423	hamann, andreas	1,0335	0,0063	22	4	8	4	167	8,129	2017,5	41,75	2,0323
1903	koyama, lina	0,6145	0,1181	19	4	8	2	69	2,4849	2014	34,5	1,2425
964	doucet, jean-louis	-0,5864	-0,3857	21	4	7	3	28	1,127	2015,3333	9,3333	0,3757
1406	hacke, uwe g.	0,9962	0,0068	22	4	7	3	166	7,7913	2015,6667	55,3333	2,5971
