"Country","Articles","Freq","SCP","MCP","MCP_Ratio","long","lat"
"USA",158,"0.17118",119,39,"0.247",-106.5348379,38.7945952
"CANADA",76,"0.08234",63,13,"0.171",-106.346771,56.130366
"SPAIN",60,"0.06501",34,26,"0.433",-3.74922,40.463667
"BRAZIL",58,"0.06284",44,14,"0.241",-47.0593274,-22.9101744
"GERMANY",47,"0.05092",29,18,"0.383",10.451526,51.165691
"CHINA",45,"0.04875",31,14,"0.311",104.195397,35.86166
"ITALY",36,"0.03900",19,17,"0.472",12.56738,41.87194
"SWEDEN",33,"0.03575",19,14,"0.424",18.643501,60.128161
"POLAND",25,"0.02709",23,2,"0.080",52.8987,18.7136
"ARGENTINA",24,"0.02600",16,8,"0.333",-63.616672,-38.416097
"UNITED KINGDOM",23,"0.02492",12,11,"0.478",-3.435973,55.378051
"MEXICO",21,"0.02275",10,11,"0.524",-99.131757,19.4357068
"AUSTRALIA",20,"0.02167",15,5,"0.250",133.775136,-25.274398
"CZECH REPUBLIC",20,"0.02167",15,5,"0.250",15.472962,49.817492
"FRANCE",18,"0.01950",12,6,"0.333",1.6750631,47.7515686
"JAPAN",18,"0.01950",10,8,"0.444",138.252924,36.204824
"BELGIUM",17,"0.01842",7,10,"0.588",4.469936,50.503887
"SWITZERLAND",16,"0.01733",7,9,"0.562",8.227512,46.818188
"INDIA",14,"0.01517",11,3,"0.214",78.96288,20.593684
"FINLAND",13,"0.01408",10,3,"0.231",25.748151,61.92411
"AUSTRIA",12,"0.01300",6,6,"0.500",14.550072,47.516231
"PORTUGAL",12,"0.01300",7,5,"0.417",-8.1338558,40.6721232
"INDONESIA",9,"0.00975",5,4,"0.444",113.921327,-0.789275
"NETHERLANDS",9,"0.00975",5,4,"0.444",5.291266,52.132633
"NEW ZEALAND",8,"0.00867",7,1,"0.125",174.885971,-40.900557
"ESTONIA",7,"0.00758",5,2,"0.286",25.013607,58.595272
"DENMARK",6,"0.00650",4,2,"0.333",9.501785,56.26392
"MALAYSIA",6,"0.00650",5,1,"0.167",101.975766,4.210484
"THAILAND",6,"0.00650",4,2,"0.333",100.992541,15.870032
"BOLIVIA",5,"0.00542",3,2,"0.400",-63.588653,-16.290154
