id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
46	adaptation	0.2064	-0.4698	6	20	30	22	2015.5	30.2727	2.002
84	agroforestry	-1.2803	-0.0716	3	7	9	13	2012.3846	15.7692	0.7386
115	amazon	-0.9965	-0.1408	3	18	22	15	2010.7333	24.9333	0.9233
178	assisted migration	-0.1356	-0.9157	6	11	22	16	2017.8125	23.5625	1.6886
260	biodiversity	-0.2488	0.2413	3	33	58	52	2012.0192	35.8462	1.2496
314	boreal forest	0.1434	0.9365	2	16	20	18	2011.3333	28.7778	1.0227
342	browsing	0.929	-0.3645	5	8	10	10	2011.3	30.3	0.9795
485	clearcutting	0.1072	0.6206	2	13	16	12	2012.4167	31.9167	0.9255
490	climate change	-0.0657	-0.3292	6	42	85	86	2018.093	28.1395	1.8494
555	competition	0.3343	-0.2285	5	22	29	21	2010.6667	37.2381	0.9993
585	conservation	-0.7273	-0.1321	3	26	41	46	2014.5217	20.2391	0.7825
598	continuous cover forestry	0.8032	0.4881	5	6	6	10	2016.1	17	0.9679
667	deforestation	-1.0001	-0.6265	4	8	13	13	2020	4.9231	0.5496
712	dispersal	-0.4012	0.5877	3	12	14	13	2011.9231	26.1538	0.8027
725	disturbance	-0.1275	0.4947	2	34	50	36	2010.9167	39.8056	1.2362
736	diversity	-0.0877	0.7205	2	17	20	14	2013.5	35.5714	0.7133
750	drought	0.978	-0.1436	1	14	17	12	2017.25	19.4167	2.2126
792	ecological restoration	0.2368	-0.0242	4	14	22	22	2014.5455	24.4545	1.0833
824	ecosystem services	-0.5328	0.1465	4	13	16	15	2018.8667	18.0667	1.1827
961	fagus sylvatica	0.7979	-0.5492	5	10	12	17	2011.8824	28.0588	0.9025
985	fire	0.2867	0.1469	1	17	18	10	2008.3	60	1.3251
1029	forest	-0.1723	0.6268	2	15	22	16	2015.9375	24.0625	1.825
1054	forest degradation	-0.8682	-0.5449	4	12	17	12	2019.6667	21.75	1.068
1062	forest dynamics	-0.4548	0.3286	3	19	22	20	2015.65	28.35	1.1643
1063	forest ecology	-0.8228	-0.0138	3	7	9	11	2014.0909	22	0.8996
1075	forest fire	0.3185	0.9534	2	6	7	10	2016.8	25.4	1.0871
1132	forest regeneration	-0.1462	-0.2543	2	39	48	52	2016	20.75	0.837
1142	forest restoration	-0.6231	-0.48	4	23	32	35	2016.0571	19.1714	1.033
1151	forest structure	-0.9097	0.161	3	15	17	20	2017.1	20	1.1637
1164	forestry	0.0969	0.3209	5	21	27	13	2016.7692	50.3077	2.1563
1213	functional diversity	-1.1628	0.0329	3	10	12	14	2019.7857	22.5	2.1433
1238	gap dynamics	0.0274	0.1249	5	12	15	10	2014.7	25	0.896
1269	genetic diversity	-0.4106	-0.8497	6	20	30	46	2014.5	21.7174	0.9114
1293	germination	0.6111	0.101	1	19	23	17	2014.7059	27.4118	1.0615
1342	growth	0.7048	-0.4133	1	28	44	28	2010.4643	26.5357	0.9622
1380	harvesting	-0.3003	0.7758	2	11	14	11	2016.1818	24.6364	1.1258
1406	herbicide	0.6434	-0.2663	4	13	15	10	2012.2	23.9	0.9751
1407	herbivory	1.215	-0.1116	1	8	8	11	2017	19.8182	1.1184
1522	invasive species	0.5717	0.515	2	12	16	18	2018.1667	11.9444	0.7048
1639	light availability	1.1311	0.0474	1	9	9	10	2013.9	23.2	0.8079
1674	logging	-0.3529	-0.351	6	21	34	20	2013.1	33.65	1.0477
1713	management	-0.5789	0.3809	2	23	31	21	2015.9524	18.2381	0.572
1737	masting	0.5901	-0.6652	1	8	12	11	2014.9091	25.3636	1.1108
1793	microsatellites	-0.5446	-0.7195	6	8	11	10	2014.3	11.7	0.4745
1855	mortality	0.7374	0.0435	1	11	12	12	2009.6667	35.6667	0.8234
1965	non-timber forest products	-1.0796	-0.3252	3	5	6	16	2012.1875	21.4375	0.8334
2118	phenology	-0.1695	-0.0165	6	17	23	16	2012.9375	38.6875	1.1861
2138	picea abies	0.5717	0.3181	5	10	12	13	2015.0769	39.0769	1.5064
2174	pinus pinaster	1.072	-0.291	1	11	14	11	2016.9091	20.4545	1.107
2184	pinus sylvestris	0.4505	0.2028	5	19	23	26	2015.4231	22.0769	0.9793
2219	plantation	-0.6345	-0.8147	4	9	11	10	2015	10.1	0.7219
2230	planting	0.0616	-0.6707	4	11	11	10	2014.1	17.9	1.0901
2310	prescribed burning	0.4831	0.0091	1	12	13	10	2009	32.7	0.862
2382	quercus	0.5087	-0.27	1	20	23	12	2013.9167	41.5	1.324
2457	reforestation	-0.0881	-0.4714	4	25	36	35	2012.9429	17.6857	0.89
2458	regeneration	0.1795	-0.1244	5	47	101	56	2010.375	29.4107	0.8997
2495	remote sensing	-0.433	0.8629	2	6	6	14	2018.2857	16.2143	1.1434
2513	resilience	0.3248	-0.4043	1	12	12	11	2016.7273	37.6364	1.6503
2524	restoration	-0.316	0.4176	2	27	41	26	2017.0769	13.8462	0.7469
2595	salvage logging	0.27	0.7948	2	14	19	17	2015.8824	23.1176	1.1561
2639	seed bank	-0.0771	0.9343	2	9	10	14	2013.2857	24.9286	0.9108
2646	seed dispersal	-0.3181	0.1029	2	34	55	59	2011.6949	41.5424	1.2163
2653	seed germination	0.418	-0.0871	1	12	16	11	2015.0909	29.9091	1.06
2665	seed predation	0.2001	0.4672	2	16	18	16	2013.125	20.1875	0.7209
2667	seed production	0.4674	-0.4934	1	18	23	24	2013.9167	26.3333	0.8276
2711	seedling establishment	0.7098	-0.0741	1	14	15	15	2013.1333	41.1333	1.5196
